,0
customer_type_Transient,0.4815539745128322
country_FIN,0.4920065990307631
country_SVK,0.5088483635872255
market_segment_Direct,0.5212427344059991
assigned_room_type_E,0.5250609493997925
assigned_room_type_H,0.525678413497117
customer_type_Group,0.542478190962717
country_HUN,0.5776435841450918
country_LTU,0.5994328557476633
country_ITA,0.63024005554666
country_VEN,0.630553698526366
market_segment_Online TA,0.6347120013161257
country_VNM,0.636216489273519
deposit_type_Refundable,0.6582321169002959
assigned_room_type_K,0.6592098773503723
country_URY,0.660454740337527
country_EGY,0.6871364467806189
total_of_special_requests,0.692075640136843
country_BRA,0.7105109516176467
country_ESP,0.7109791232970969
reserved_room_type_L,0.7146446719710212
country_BIH,0.7185568863624175
country_JOR,0.7226907768621115
country_DZA,0.7551030024804392
country_SDN,0.7562447709619801
country_LUX,0.7830134873103213
assigned_room_type_B,0.7853556011347941
country_ISR,0.7921356039808123
distribution_channel_GDS,0.8008791646236755
country_MOZ,0.8149676995156392
country_MEX,0.8170557702394281
offset,0.8172046642858581
country_SYC,0.8195457786721896
country_GNB,0.8198948731694582
country_UKR,0.8296009433910517
country_KOR,0.8339958664480344
country_SGP,0.8729474430826946
country_BWA,0.885391858244381
country_ECU,0.8854552351550503
reserved_room_type_D,0.8893558333572502
country_KEN,0.9128809447957583
country_RUS,0.9194974891029534
country_SRB,0.941218244273445
country_COL,0.9725214650094977
country_CPV,0.9768434865473588
reserved_room_type_C,0.9976759805658368
country_MDG,1.0043814874275554
country_KWT,1.0048584634021456
is_repeated_guest,1.0070940478425219
market_segment_Offline TA/TO,1.0160108001383572
reserved_room_type_G,1.0451665663002088
country_FRO,1.0690663257907416
country_DOM,1.0762763503304533
country_GHA,1.0943168359637716
country_AZE,1.1365104863414035
assigned_room_type_F,1.1410430219974739
country_ZAF,1.1603073416343317
reserved_room_type_B,1.1732763548243492
country_TUR,1.1792492729316864
country_THA,1.2238922043096534
previous_cancellations,1.2764278813731775
country_STP,1.2955084609111203
country_CHN,1.32968010659974
country_MAR,1.3517677545139506
country_MDV,1.3903940912275627
country_BGD,1.4215886076223352
country_NZL,1.4399426728190492
country_KNA,1.466974516900538
country_NGA,1.47339127261963
country_SAU,1.4794389607932394
deposit_type_Non Refund,1.5056195229129041
country_FJI,1.5614802338198714
assigned_room_type_A,1.5772718759057238
country_TUN,1.6072254570041644
country_BRB,1.6090526644586984
deposit_type_No Deposit,1.6645920702888368
country_PRT,1.6693856680026982
country_GUY,1.670824380079874
country_BHS,1.6763270306432203
country_PHL,1.7573020259321683
country_PAK,1.7678665544567327
country_IDN,1.8173678428165108
country_AGO,1.8366301132394451
country_GEO,1.9055400797327535
country_MNE,1.909328466225542
country_UZB,1.9589821704498354
country_ZMB,1.9972082939848503
country_UGA,2.0483884058258344
country_LIE,2.051651201015987
reserved_room_type_A,2.0553961623987074
country_QAT,2.056163889755389
country_ETH,2.057891730909877
assigned_room_type_G,2.068860433475804
country_PRI,2.0736403113230675
country_ZWE,2.195046995016335
country_ABW,2.225621554755546
country_SLV,2.243058893411417
country_BHR,2.256617807475744
country_SEN,2.2889293493431397
country_CIV,2.343617465312543
country_BFA,2.406115399236555
country_LAO,2.7105598110688387
country_TMP,2.7121557600615525
country_ARE,2.8606852423503857
country_TZA,3.054182887225891
assigned_room_type_I,3.15769777396274
country_ASM,3.201388848136729
country_BOL,3.2391733537748593
country_TJK,3.2407547339341316
country_SYR,3.2430438262573933
country_HKG,3.4679449527001753
country_MAC,3.7009695204837136
country_RWA,3.7459290632371336
country_SUR,3.7672190421612184
country_NCL,3.776522863767077
country_MYT,3.99610892941332
country_TGO,4.019403104629112
country_KHM,4.063215158456333
country_LBY,4.096665389893896
country_VGB,4.196062985194901
country_ATA,4.196899376850264
country_GLP,4.280801558773962
reserved_room_type_P,4.330724153038835
assigned_room_type_P,4.330724153062936
country_GTM,4.363148556860804
country_GAB,4.467061203879441
country_BEN,4.611501294011485
country_JAM,4.686283677740347
country_CAF,4.690861335076832
country_MRT,4.722955003503973
country_HND,4.80349886753395
country_NAM,4.870248552544973
country_NIC,4.944164125647678
country_AIA,4.961838939363412
country_UMI,5.017777258066043
country_LKA,5.021328787663303
country_COM,5.082299392933973
country_IMN,5.1419035128872705
country_CUB,6.028936029420554
country_PRY,6.081199644217362
country_MKD,6.083193044133975
country_IRQ,7.047801036213017
country_CRI,7.953646613980278
country_CMR,8.39063477706192
country_JEY,8.633796690293751
country_AND,8.967694910073044
country_PAN,9.11301305605865
country_GGY,10.19380452117482
country_GIB,12.000675399538878
required_car_parking_spaces,27.1533916255083
